seqNumber,docID,edinetCode,secCode,JCN,filerName,fundCode,ordinanceCode,formCode,docTypeCode,periodStart,periodEnd,submitDateTime,docDescription,issuerEdinetCode,subjectEdinetCode,subsidiaryEdinetCode,currentReportReason,parentDocID,opeDateTime,withdrawalStatus,docInfoEditStatus,disclosureStatus,xbrlFlag,pdfFlag,attachDocFlag,englishDocFlag
169,S100PRUR,E03478,30530,7010601023532,株式会社ペッパーフードサービス,,010,023000,030,,,2022-12-08 15:26,有価証券届出書（参照方式）,,,,,,,0,0,0,1,1,1,0
170,S100PRUD,E31381,60390,4020001077222,株式会社日本動物高度医療センター,,010,022000,030,,,2022-12-08 15:30,有価証券届出書（組込方式）,,,,,,,0,0,0,1,1,1,0
171,S100PRV4,E34106,,6120001051124,株式会社ジェンス,,060,090001,360,,,2022-12-08 15:33,訂正報告書（大量保有報告書・変更報告書）,E02922,,,,S100NPSE,,0,0,0,1,1,1,0
172,S100PQOI,E33485,71960,4010001155540,株式会社Ｃａｓａ,,010,043000,140,2022-08-01,2022-10-31,2022-12-08 15:35,四半期報告書－第10期第3四半期(令和4年8月1日－令和4年10月31日),,,,,,,0,0,0,1,1,0,0
173,S100PQOL,E33485,71960,4010001155540,株式会社Ｃａｓａ,,010,042000,135,,,2022-12-08 15:36,確認書,,,,,,,0,0,0,0,1,0,0
174,S100PR76,E11852,,,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）,,060,010002,350,,,2022-12-08 15:41,変更報告書,E26327,,,,,,0,0,0,1,1,0,0
175,S100PR7I,E11852,,,エフィッシモ　キャピタル　マネージメント　ピーティーイー　エルティーディー（Ｅｆｆｉｓｓｉｍｏ　Ｃａｐｉｔａｌ　Ｍａｎａｇｅｍｅｎｔ　Ｐｔｅ　Ｌｔｄ）,,060,010002,350,,,2022-12-08 15:45,変更報告書,E04237,,,,,,0,0,0,1,1,0,0
176,S100PR45,E37223,,,平岡　秀一,,060,010002,350,,,2022-12-08 15:52,変更報告書,E37095,,,,S100MYBJ,,0,0,0,1,1,1,0
177,S100PRTT,E01008,42120,9120001059651,積水樹脂株式会社,,010,170000,220,,,2022-12-08 15:56,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
178,S100PRV9,E34106,,6120001051124,株式会社ジェンス,,060,090001,360,,,2022-12-08 15:57,訂正報告書（大量保有報告書・変更報告書）,E02922,,,,S100NZD2,,0,0,0,1,1,1,0
179,S100PRUN,E10227,,9010401045023,ＳＢＩインベストメント株式会社,,060,010000,350,,,2022-12-08 15:59,大量保有報告書,E38156,,,,,,0,0,0,1,1,1,0
180,S100PRLI,E24991,49280,3140001034179,株式会社ノエビアホールディングス,,010,030000,120,2021-10-01,2022-09-30,2022-12-08 16:00,有価証券報告書－第12期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,1,0
181,S100PRNL,E24991,49280,3140001034179,株式会社ノエビアホールディングス,,015,010000,235,,,2022-12-08 16:01,内部統制報告書－第12期(令和3年10月1日－令和4年9月30日),,,,,,,0,0,0,1,1,0,0
182,S100PRNK,E24991,49280,3140001034179,株式会社ノエビアホールディングス,,010,042000,135,,,2022-12-08 16:01,確認書,,,,,,,0,0,0,0,1,0,0
183,S100PRMZ,E09037,,2010401050707,株式会社ウィズ・パートナーズ,,060,010002,350,,,2022-12-08 16:06,変更報告書,E32153,,,,,,0,0,0,1,1,0,0
184,S100PR3G,E11943,,,Ｅｖｏ　Ｆｕｎｄ,,060,010002,350,,,2022-12-08 16:08,変更報告書,E02775,,,,S100PPI2,,0,0,0,1,1,1,0
185,S100PRUH,E35442,,9010001186226,株式会社ミダスキャピタル,,060,090001,360,,,2022-12-08 16:08,訂正報告書（大量保有報告書・変更報告書）,E35116,,,,S100PG2H,,0,0,0,1,1,0,0
186,S100PRUZ,E36697,49370,9010901023800,株式会社Ｗａｑｏｏ,,010,053000,180,,,2022-12-08 16:13,臨時報告書,,,,第19条第2項第9号の4,,,0,0,0,1,1,0,0
187,S100PRW7,E35013,,5120001221066,日本投資株式会社,,060,010002,350,,,2022-12-08 16:31,変更報告書,E05179,,,,S100GF41,,0,0,0,1,1,0,0
188,S100PRVT,E04691,96790,9010001108279,ホウライ株式会社,,010,053000,180,,,2022-12-08 16:31,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0
189,S100PRW8,E04218,90390,6120101002720,株式会社サカイ引越センター,,010,053000,180,,,2022-12-08 16:32,臨時報告書,,,,第19条第2項第4号,,,0,0,0,1,1,0,0
190,S100PRT3,E35442,,9010001186226,株式会社ミダスキャピタル,,060,010002,350,,,2022-12-08 16:36,変更報告書,E35116,,,,,,0,0,0,1,1,0,0
191,S100PR57,E31354,39130,5010001132290,株式会社ｓＭｅｄｉｏ,,010,053000,180,,,2022-12-08 16:39,臨時報告書,,,,第19条第2項第9号の2,,,0,0,0,1,1,0,0
192,S100PRW6,E02530,80410,2120001036970,ＯＵＧホールディングス株式会社,,010,170000,220,,,2022-12-08 16:57,自己株券買付状況報告書（法２４条の６第１項に基づくもの）,,,,,,,0,0,0,1,1,0,0
193,S100PRRS,E27230,,1010005019769,日本プロロジスリート投資法人,G09054,030,04F001,040,,,2022-12-08 16:58,訂正有価証券届出書（参照方式・内国投資証券）,,,,,S100PQI3,,0,0,0,1,1,1,0
194,S100PRRQ,E27230,,1010005019769,日本プロロジスリート投資法人,G09054,030,04F001,040,,,2022-12-08 16:59,訂正有価証券届出書（参照方式・内国投資証券）,,,,,S100PQLM,,0,0,0,1,1,1,0
195,S100PRUA,E38043,,3011001071811,ｎｏｔｅ株式会社,,010,024001,040,,,2022-12-08 17:02,訂正有価証券届出書（新規公開時）,,,,,S100PNAF,,0,0,0,1,1,0,0
