seccode,market,jcn,name,pref,city,type,marketcap_m,since
2053,P,2180001094757,中部飼料,愛知県,名古屋市,1,31982,1949
2055,S,7140001002355,日和産業,兵庫県,神戸市,1,5499,1924
2060,P,7020001107810,フィード・ワン,神奈川県,横浜市,1,29281,2014
2107,S,2010001034845,東洋精糖,東京都,中央区,1,11098,1949
2108,P,8010401054826,日本甜菜製糖,東京都,港区,1,30084,1919
2109,P,1010001034929,ＤＭ三井製糖ホールディングス,東京都,港区,1,99551,
2112,S,7010001079324,塩水港精糖,東京都,中央区,1,8225,1950
2114,S,5010001034982,フジ日本精糖,東京都,中央区,1,27755,1949
2117,P,2010001142672,ウェルネオシュガー,東京都,中央区,1,72210,2011
2120,P,1010401091628,ＬＩＦＵＬＬ,東京都,千代田区,10,25774,1997
2121,P,1011001035512,ＭＩＸＩ,東京都,渋谷区,10,169655,1999
2122,S,8011101028715,インタースペース,東京都,新宿区,10,6493,1999
2124,P,1010001019483,ジェイエイシーリクルートメント,東京都,千代田区,10,108771,1988
2127,P,6010001033744,日本Ｍ＆Ａセンターホールディングス,東京都,千代田区,10,226285,1991
2130,P,7010701022764,メンバーズ,東京都,中央区,10,13959,1995
2134,S,4120001048543,燦キャピタルマネージメント,大阪府,大阪市,10,2684,1997
2136,S,9020001015813,ヒップ,神奈川県,横浜市,10,4226,
2138,S,3010401083482,クルーズ,東京都,渋谷区,10,10470,2001
2139,S,2200001003384,中広,岐阜県,岐阜市,10,2937,1978
2146,P,6010701020975,ＵＴグループ,東京都,品川区,10,86584,2007
2148,P,1010001092299,アイティメディア,東京都,千代田区,10,20752,1999
2150,G,4010001075490,ケアネット,東京都,千代田区,10,32389,1996
2152,S,3010701010137,幼児活動研究会,東京都,品川区,10,14730,1972
2153,P,3260001010102,Ｅ・Ｊホールディングス,岡山県,岡山市,10,26176,2007
2154,P,5010401078571,オープンアップグループ,東京都,港区,10,190666,
2156,S,9470001002353,セーラー広告,香川県,高松市,10,1811,1951
2157,P,7070001003674,コシダカホールディングス,群馬県,前橋市,10,87073,2000
2158,G,1010401051219,ＦＲＯＮＴＥＯ,東京都,港区,10,27155,2003
2160,G,4011101053527,ジーエヌアイグループ,東京都,中央区,5,132947,2001
2162,S,7011101037766,ｎｍｓ　ホールディングス,東京都,新宿区,10,9098,1985
2163,P,6140001047590,アルトナー,大阪府,大阪市,10,18503,1962
2164,G,6040001020962,地域新聞社,千葉県,八千代市,10,790,1984
2168,P,6010001114024,パソナグループ,東京都,千代田区,10,85548,2007
2169,S,9180301001381,ＣＤＳ,愛知県,岡崎市,10,11882,1980
2170,P,5010001068254,リンクアンドモチベーション,東京都,中央区,10,55969,2000
2173,G,3010001099004,博展,東京都,中央区,10,4716,1970
2175,P,2010001134117,エス・エム・エス,東京都,港区,10,228842,2003
2179,S,6120001140744,成学社,大阪府,大阪市,10,4201,
2180,S,1011001044042,サニーサイドアップグループ,東京都,渋谷区,10,10255,1985
2181,P,8011001058176,パーソルホールディングス,東京都,渋谷区,10,564110,2008
2183,S,9120001111255,リニカル,大阪府,大阪市,10,13508,
2185,S,4180001036617,シイエム・シイ,愛知県,名古屋市,10,17309,1962
2186,S,9010801008257,ソーバル,東京都,品川区,10,8029,1983
2193,S,6010401071872,クックパッド,神奈川県,横浜市,10,13429,1997
2195,G,3010001129669,アミタホールディングス,京都府,京都市,10,11025,2010
2196,S,9010401057687,エスクリ,東京都,中央区,10,4039,
2198,P,5300001005459,アイ・ケイ・ケイホールディングス,佐賀県,伊万里市,10,19532,1995
2201,P,1010401029660,森永製菓,東京都,港区,1,258091,1910
2204,S,6011101015442,中村屋,東京都,新宿区,1,18407,1923
2206,P,5120001049268,江崎グリコ,大阪府,大阪市,1,283186,1929
2207,P,5180001027409,名糖産業,愛知県,名古屋市,1,27955,1945
2208,S,6110001017563,ブルボン,新潟県,柏崎市,1,62270,1924
2209,P,5190001000125,井村屋グループ,三重県,津市,1,30295,1947
2211,P,3010001034910,不二家,東京都,文京区,1,65338,1938
2212,P,4010001008806,山崎製パン,東京都,千代田区,1,704024,1948
2215,S,8012701009955,第一屋製パン,東京都,小平市,1,4525,1955
2216,S,9011201001240,カンロ,東京都,新宿区,1,33419,1950
2217,P,2140001002665,モロゾフ,兵庫県,神戸市,1,27361,1931
2220,P,4110001006378,亀田製菓,新潟県,新潟市,1,86596,1957
2221,S,5110001023736,岩塚製菓,新潟県,長岡市,1,29975,1954
2222,P,1270001003263,寿スピリッツ,鳥取県,米子市,1,367467,1952
2224,S,1180001075799,コモ,愛知県,小牧市,1,10019,1984
2226,S,9011401005578,湖池屋,東京都,板橋区,1,42893,1977
2229,P,8010001133757,カルビー,東京都,千代田区,1,365628,1949
2264,P,8010401029662,森永乳業,東京都,港区,1,262862,1949
2266,P,6140001011869,六甲バター,兵庫県,神戸市,1,30376,1948
2267,P,7010401029746,ヤクルト本社,東京都,港区,1,1152162,1955
2268,S,8010701008226,Ｂ－Ｒ　サーティワン　アイスクリーム,東京都,品川区,1,39205,
2269,P,9010001123947,明治ホールディングス,東京都,中央区,1,1001869,2009
2270,P,8430001041570,雪印メグミルク,北海道,札幌市,1,157777,2009
2281,P,6010701008888,プリマハム,東京都,品川区,1,112467,1948
2282,P,6120001077615,日本ハム,大阪府,大阪市,1,448901,1949
2286,S,8250001006179,林兼産業,山口県,下関市,1,5248,1941
2288,P,3120901012046,丸大食品,大阪府,高槻市,1,42594,1958
2291,S,6240001010290,福留ハム,広島県,広島市,1,5039,1958
2292,P,6140001069164,Ｓ　Ｆｏｏｄｓ,兵庫県,西宮市,1,106645,1967
2293,S,4060001017356,滝沢ハム,栃木県,栃木市,1,6590,1950
2294,P,7190001012102,柿安本店,三重県,桑名市,1,30843,1968
2296,P,6011001110293,伊藤ハム米久ホールディングス,東京都,目黒区,1,227010,2016
2300,S,7290001012793,きょくとう,福岡県,福岡市,10,2753,1964
2301,P,3120001047728,学情,東京都,千代田区,10,28273,1977
2303,S,9140001018622,ドーン,兵庫県,神戸市,10,6296,1997
2304,S,2010001072812,ＣＳＳホールディングス,東京都,中央区,10,3806,1984
2305,P,5120001096533,スタジオアリス,大阪府,大阪市,10,35385,1974
2307,P,5010701002818,クロスキャット,東京都,港区,10,18961,
2309,P,1010701011418,シミックホールディングス,東京都,港区,10,50015,1985
2311,S,4011801000662,エプコ,東京都,墨田区,10,7211,
2315,S,7010701017566,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,東京都,港区,10,5872,1989
2317,P,6010401088867,システナ,東京都,港区,10,119032,1983
2321,G,4430001024067,ソフトフロントホールディングス,東京都,千代田区,10,2562,1997
