seccode,market,jcn,name,pref,city,type,marketcap_m
7844,P,3010701022537,株式会社マーベラス,東京都,品川区,10,42680
6267,S,6180001045896,ゼネラルパッカー株式会社,愛知県,北名古屋市,8,4931
7839,P,5010501005434,株式会社ＳＨＯＥＩ,東京都,台東区,10,113873
7840,P,6011101037016,フランスベッドホールディングス株式会社,東京都,新宿区,10,47152
4974,P,1160001002490,タカラバイオ株式会社,滋賀県,草津市,4,146064
6460,P,9010401055278,セガサミーホールディングス株式会社,東京都,品川区,8,540957
4238,S,4013301002222,ミライアル株式会社,東京都,豊島区,4,14441
6159,S,1390001001841,ミクロン精密株式会社,山形県,山形市,8,9910
3791,S,5012401001942,株式会社ＩＧポート,東京都,武蔵野市,10,21966
7832,P,5010701022329,株式会社バンダイナムコホールディングス,東京都,港区,10,2008656
4240,G,4122001002199,クラスターテクノロジー株式会社,大阪府,東大阪市,4,2334
2929,P,5130001011549,株式会社ファーマフーズ,京都府,京都市,1,39460
7826,S,8013301010956,株式会社フルヤ金属,東京都,豊島区,10,72362
6257,S,6120001099576,株式会社藤商事,大阪府,大阪市,8,28714
3851,S,3200001007491,株式会社日本一ソフトウェア,岐阜県,各務原市,10,5593
4369,P,2090001008148,株式会社トリケミカル研究所,山梨県,上野原市,4,107570
3439,S,9180001001260,株式会社三ツ知,愛知県,春日井市,3,4142
7821,P,6210001003710,前田工繊株式会社,福井県,坂井市,10,96781
3440,S,1290001018169,日創プロニティ株式会社,福岡県,福岡市,3,4712
4243,S,2020001028152,株式会社ニックス,神奈川県,横浜市,4,1926
8001,P,7120001077358,伊藤忠商事株式会社,大阪府,大阪市,13,9292207
8002,P,9010001008776,丸紅株式会社,東京都,千代田区,13,3976426
8007,P,3010001034860,高島株式会社,東京都,千代田区,13,17561
8093,P,2010001014327,極東貿易株式会社,東京都,千代田区,13,23112
8015,P,6180001031731,豊田通商株式会社,愛知県,名古屋市,13,3065775
8020,P,7140001005647,兼松株式会社,兵庫県,神戸市,13,170521
8014,P,3120001077485,蝶理株式会社,大阪府,大阪市,13,71558
8032,P,1010001034978,日本紙パルプ商事株式会社,東京都,中央区,13,68648
8061,P,6010001008696,西華産業株式会社,東京都,千代田区,13,30296
8031,P,1010001008767,三井物産株式会社,東京都,千代田区,13,8546848
8057,P,1010001034730,株式会社内田洋行,東京都,中央区,13,71268
9274,P,9010001048806,ＫＰＰグループホールディングス株式会社,東京都,中央区,13,46437
8098,P,4120001077360,稲畑産業株式会社,大阪府,大阪市,13,178925
8084,P,8013301012440,株式会社ＲＹＯＤＥＮ,東京都,豊島区,13,57085
8016,P,4010001034736,株式会社オンワードホールディングス,東京都,中央区,4,76908
8075,P,5120001077442,神鋼商事株式会社,大阪府,大阪市,13,49974
8074,P,5010001034958,ユアサ商事株式会社,東京都,千代田区,13,92047
8070,P,6010001008820,東京産業株式会社,東京都,千代田区,13,24147
8053,P,1010001008692,住友商事株式会社,東京都,千代田区,13,3995812
8058,P,5010001008771,三菱商事株式会社,東京都,千代田区,13,10326957
8041,S,2120001036970,ＯＵＧホールディングス株式会社,大阪府,大阪市,13,13299
8018,S,6140001007875,三共生興株式会社,大阪府,大阪市,13,42336
8065,P,8010001034807,佐藤商事株式会社,東京都,千代田区,13,32524
8038,S,9010001034847,東都水産株式会社,東京都,江東区,13,28585
3004,S,4140001008108,神栄株式会社,兵庫県,神戸市,13,7491
8291,P,4010701012495,日産東京販売ホールディングス株式会社,東京都,品川区,14,30919
3023,S,7010001060127,ラサ商事株式会社,東京都,中央区,13,19977
3176,P,2010001017016,三洋貿易株式会社,東京都,千代田区,13,36927
8101,P,3010001008666,株式会社ＧＳＩクレオス,東京都,港区,13,25538
8012,P,4120001049021,長瀬産業株式会社,大阪府,大阪市,13,270246
8078,P,8120001077530,阪和興業株式会社,大阪府,大阪市,13,183512
7451,S,2010801012645,三菱食品株式会社,東京都,文京区,13,195047
8051,P,1120001049040,株式会社山善,大阪府,大阪市,13,115224
8076,S,7180001025105,株式会社カノークス,愛知県,名古屋市,13,22374
8103,P,7010001008786,明和産業株式会社,東京都,千代田区,13,27449
8030,S,5010001034859,中央魚類株式会社,東京都,江東区,13,13205
8088,P,8120001077357,岩谷産業株式会社,大阪府,大阪市,13,416432
1948,S,3010001034778,株式会社弘電社,東京都,中央区,3,8889
8077,P,7120001048994,トルク株式会社,大阪府,大阪市,13,7282
8039,S,4010001034876,築地魚市場株式会社,東京都,江東区,13,6817
8052,P,4120001059664,椿本興業株式会社,大阪府,大阪市,13,35024
8043,P,9010401015760,スターゼン株式会社,東京都,港区,13,48728
2874,P,1020001030638,横浜冷凍株式会社,神奈川県,横浜市,13,70231
8059,P,5010001008714,第一実業株式会社,東京都,千代田区,13,63924
8085,S,2430001035966,ナラサキ産業株式会社,北海道,札幌市,13,13527
8081,P,7010401007116,株式会社カナデン,東京都,中央区,13,34314
8089,S,2020001037946,ナイス株式会社,神奈川県,横浜市,13,17893
8095,P,9010001034748,アステナホールディングス株式会社,東京都,中央区,13,21096
