法人番号,法人名,法人名ふりがな,法人名英語,本店所在地
1011101008616,ＪＥＳＣＯホールディングス株式会社,じぇすこほーるでぃんぐす,,東京都新宿区新宿２丁目１番９号
3290001025873,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,ろぼっとほーむ,,東京都中央区銀座７丁目４番１５号
6480001006042,株式会社フィット,ふぃっと,,徳島県板野郡松茂町中喜来字群恵３９番地１
4200001001361,株式会社岐阜造園,ぎふぞうえん,,岐阜県岐阜市茜部菱野４丁目７９番地の１
5180001024430,株式会社安江工務店,やすえこうむてん,,愛知県名古屋市中区栄２丁目２番２３号
2011301023802,技研ホールディングス株式会社,ぎけんほーるでぃんぐす,,東京都千代田区神田東松下町１７番地
3010901009251,株式会社ニッソウ,にっそう,,東京都世田谷区経堂１丁目８番１７号
6010001162361,株式会社キャンディル,きゃんでぃる,,東京都新宿区北山伏町１番１１号
6010001195295,ＩＴｂｏｏｋホールディングス株式会社,あいてぃぶっくほーるでぃんぐす,,東京都江東区豊洲３丁目２番２４号
7010401017288,田中建設工業株式会社,たなかけんせつこうぎょう,,東京都港区東新橋１丁目９番１号
7140001034712,株式会社ＫＨＣ,,,兵庫県明石市花園町２番地の２
7010001008720,中外鑛業株式会社,ちゅうがいこうぎょう,,東京都千代田区丸の内２丁目４番１号
2010401078384,住石ホールディングス株式会社,すみせきほーるでぃんぐす,,東京都港区西新橋１丁目７番１４号
5010001008730,日鉄鉱業株式会社,にってつこうぎょう,,東京都千代田区丸の内２丁目３番２号
5290001010634,三井松島ホールディングス株式会社,みついまつしまほーるでぃんぐす,,福岡県福岡市中央区大手門１丁目１番１２号
7010401078520,株式会社ＩＮＰＥＸ,いんぺっくす,,東京都港区赤坂５丁目３番１号
3010001108219,石油資源開発株式会社,せきゆしげんかいはつ,,東京都千代田区丸の内１丁目７番１２号
4010001157909,Ｋ＆Ｏエナジーグループ株式会社,けいあんどおーえなじーぐるーぷ,,千葉県茂原市茂原６６１番地
2010401082989,株式会社ＳＤＳホールディングス,えすでぃーえすほーるでぃんぐす,,東京都港区東新橋２丁目１１番７号
5180001044387,株式会社ダイセキ環境ソリューション,だいせきかんきょうそりゅーしょん,,愛知県名古屋市瑞穂区明前町８番１８号
5021001007060,第一カッター興業株式会社,だいいちかったーこうぎょう,,神奈川県茅ヶ崎市萩園８３３番地
7010001072436,明豊ファシリティワークス株式会社,めいほうふぁしりてぃわーくす,,東京都千代田区平河町２丁目７番９号
8140001061763,美樹工業株式会社,みきこうぎょう,,兵庫県姫路市北条９５１番地１
2010401051696,株式会社安藤・間,あんどうはざま,,東京都港区東新橋１丁目９番１号
9011001040166,東急建設株式会社,とうきゅうけんせつ,,東京都渋谷区渋谷１丁目１６番１４号
3010701014889,コムシスホールディングス株式会社,こむしすほーるでぃんぐす,,東京都品川区東五反田２丁目１７番１号
1010601021483,日本電技株式会社,にほんでんぎ,,東京都墨田区両国２丁目１０番１４号
3180001033524,シンクレイヤ株式会社,しんくれいや,,愛知県名古屋市中区千代田２丁目２１番１８号
1240001015542,株式会社ビーアールホールディングス,びーあーるほーるでぃんぐす,,広島県広島市東区光町２丁目６番３１号
7020001068771,麻生フオームクリート株式会社,あそうふぉーむくりーと,,神奈川県川崎市中原区苅宿３６番１号
8010601001272,株式会社オーテック,おーてっく,,東京都江東区東陽２丁目４番２号
9130001012782,株式会社メルディアＤＣ,めるでぃあでぃーしー,,京都府京都市山科区椥辻中在家町８番地１
8340001001600,コーアツ工業株式会社,こーあつこうぎょう,,鹿児島県鹿児島市伊敷５丁目１７番５号
7010401063241,株式会社創建エース,そうけんえーす,,東京都新宿区西新宿１丁目２５番１号
7180001019940,太洋基礎工業株式会社,たいようきそこうぎょう,,愛知県名古屋市中川区柳森町１０７番地
2120001056705,株式会社高松コンストラクショングループ,たかまつこんすとらくしょんぐるーぷ,,大阪府大阪市淀川区新北野１丁目２番３号
5020001011279,工藤建設株式会社,くどうけんせつ,,神奈川県横浜市青葉区新石川４丁目３３番地１０
1180001054828,東建コーポレーション株式会社,とうけんこーぽれーしょん,,愛知県名古屋市中区丸の内２丁目１番３３号
6140001044324,株式会社ソネック,そねっく,,兵庫県高砂市曽根町２２５７番地の１
6070001008237,藤田エンジニアリング株式会社,ふじたえんじにありんぐ,,群馬県高崎市飯塚町１１７４番地５
6020001077096,富士古河Ｅ＆Ｃ株式会社,ふじふるかわいーあんどしー,,神奈川県川崎市幸区堀川町５８０番地
1011101036179,三井住建道路株式会社,みついすみけんどうろ,,東京都新宿区西新宿６丁目２４番１号
6100001021418,株式会社ヤマウラ,やまうら,,長野県駒ヶ根市北町２２番１号
7010401066847,株式会社アジアゲートホールディングス,あじあげーとほーるでぃんぐす,,東京都港区赤坂５丁目３番１号
7010601040057,オリエンタル白石株式会社,おりえんたるしらいし,,東京都江東区豊洲５丁目６番５２号
7010001053015,株式会社ナカボーテック,なかぼーてっく,,東京都中央区新川１丁目１７番２１号茅場町ファーストビル
7160001005521,株式会社三東工業社,さんとうこうぎょうしゃ,,滋賀県甲賀市信楽町江田６１０番地
3011101040583,株式会社ＥＴＳホールディングス,いーてぃーえすほーるでぃんぐす,,東京都豊島区南池袋１丁目１０番１３号
7260001001493,株式会社大本組,おおもとぐみ,,岡山県岡山市北区内山下１丁目１番１３号
7010601006280,株式会社マサル,まさる,,東京都江東区佐賀１丁目９番１４号
7100001003530,株式会社守谷商会,もりやしょうかい,,長野県長野市南千歳町８７８番地
4110001002922,第一建設工業株式会社,だいいちけんせつこうぎょう,,新潟県新潟市中央区八千代１丁目４番３４号
4011101011880,大成建設株式会社,たいせいけんせつ,,東京都新宿区西新宿１丁目２５番１号
7010401088742,株式会社大林組,おおばやしぐみ,,東京都港区港南２丁目１５番２号
1010401013565,清水建設株式会社,しみずけんせつ,,東京都中央区京橋２丁目１６番１号
8010001008703,飛島建設株式会社,とびしまけんせつ,,東京都港区港南１丁目８番１５号
5010401031200,株式会社佐藤渡辺,さとうわたなべ,,東京都港区南麻布１丁目１８番４号
7010401024061,株式会社長谷工コーポレーション,はせこうこーぽれーしょん,,東京都港区芝２丁目３２番１号
7010001034956,松井建設株式会社,まついけんせつ,,東京都中央区新川１丁目１７番２２号
5120001049004,株式会社錢高組,ぜにたかぐみ,,大阪府大阪市西区西本町２丁目２番４号
8010401006744,鹿島建設株式会社,かじまけんせつ,,東京都港区元赤坂１丁目３番１号
4010001141053,株式会社不動テトラ,ふどうてとら,,東京都中央区日本橋小網町７番２号
5120001083408,大末建設株式会社,だいすえけんせつ,,大阪府大阪市中央区久太郎町２丁目５番２８号
2010001008709,鉄建建設株式会社,てっけんけんせつ,,東京都千代田区神田三崎町２丁目５番３号
8010401021454,西松建設株式会社,にしまつけんせつ,,東京都港区虎ノ門１丁目１７番１号
2010001131477,三井住友建設株式会社,みついすみともけんせつ,,東京都中央区佃２丁目１番６号
3010001034869,大豊建設株式会社,だいほうけんせつ,,東京都中央区新川１丁目２４番４号
9070001001420,佐田建設株式会社,さたけんせつ,,群馬県前橋市元総社町１丁目１番地の７
4010001008731,株式会社ナカノフドー建設,なかのふどーけんせつ,,東京都千代田区九段北４丁目２番２８号
5110001019890,田辺工業株式会社,たなべこうぎょう,,新潟県上越市大字福田２０番地
7120001004931,株式会社奥村組,おくむらぐみ,,大阪府大阪市阿倍野区松崎町２丁目２番２号
6011101014147,東鉄工業株式会社,とうてつこうぎょう,,東京都新宿区信濃町３４番地
7430001010659,株式会社土屋ホールディングス,つちやほーるでぃんぐす,,北海道札幌市北区北九条西３丁目７番地
9010801004850,サンユー建設株式会社,さんゆーけんせつ,,東京都大田区南雪谷２丁目１７番８号
9011801002605,株式会社大盛工業,おおもりこうぎょう,,東京都千代田区神田多町２丁目１番地
7010501028268,株式会社イチケン,いちけん,,東京都港区芝浦１丁目１番１号
6290001010204,株式会社富士ピー・エス,ふじぴーえす,,福岡県福岡市中央区薬院１丁目１３番８号
3120001039386,南海辰村建設株式会社,なんかいたつむらけんせつ,,大阪府大阪市浪速区難波中３丁目５番１９号
8120001022651,株式会社淺沼組,あさぬまぐみ,,大阪府大阪市浪速区湊町１丁目２番３号マルイト難波ビル
4120001077567,株式会社森組,もりぐみ,,大阪府大阪市中央区道修町４丁目５番１７号
6010001034874,戸田建設株式会社,とだけんせつ,,東京都中央区京橋１丁目７番１号
1210001001082,株式会社熊谷組,くまがいぐみ,,福井県福井市中央２丁目６番８号
7100001000742,北野建設株式会社,きたのけんせつ,,長野県長野市県町５２４番地
8110001017149,株式会社植木組,うえきぐみ,,新潟県柏崎市駅前１丁目５番４５号
6180001018506,矢作建設工業株式会社,やはぎけんせつこうぎょう,,愛知県名古屋市東区葵３丁目１９番７号
1010001008742,株式会社ピーエス三菱,ぴーえすみつびし,,東京都港区東新橋１丁目９番１号
6400001001397,株式会社日本ハウスホールディングス,にほんはうすほーるでぃんぐす,,東京都千代田区飯田橋４丁目３番８
4010401016607,大東建託株式会社,だいとうけんたく,,東京都港区港南２丁目１６番１号
2040001003186,新日本建設株式会社,しんにほんけんせつ,,千葉県千葉市美浜区ひび野１丁目４番３
7010401020201,東亜道路工業株式会社,とうあどうろこうぎょう,,東京都港区六本木７丁目３番７号
9010401023409,日本道路株式会社,にっぽんどうろ,,東京都港区芝浦１丁目２番３号
3011101055078,東亜建設工業株式会社,とうあけんせつこうぎょう,,東京都新宿区西新宿３丁目７番１号
3010401022812,日本国土開発株式会社,にほんこくどかいはつ,,東京都港区虎ノ門４丁目３番１３号
6290801012011,若築建設株式会社,わかちくけんせつ,,福岡県北九州市若松区浜町１丁目４番７号
9120001077496,東洋建設株式会社,とうようけんせつ,,大阪府大阪市中央区高麗橋４丁目１番１号
1010001000006,五洋建設株式会社,ごようけんせつ,,東京都文京区後楽２丁目２番８号
8130001040495,金下建設株式会社,かねしたけんせつ,,京都府宮津市字須津４７１番地の１
1010401015438,世紀東急工業株式会社,せいきとうきゅうこうぎょう,,東京都港区芝公園２丁目９番３号
9110001004880,株式会社福田組,ふくだぐみ,,新潟県新潟市中央区一番堀通町３番地１０
3010701005946,大成温調株式会社,たいせいおんちょう,,東京都品川区大井１丁目４９番１０号
7010401018815,株式会社テノックス,てのっくす,,東京都港区芝５丁目２５番１１号
2010701007860,日本ドライケミカル株式会社,にっぽんどらいけみかる,,東京都北区田端６丁目１番１号
4010001090011,住友林業株式会社,すみともりんぎょう,,東京都千代田区大手町１丁目３番２号
9120001072753,日本基礎技術株式会社,にほんきそぎじゅつ,,大阪府大阪市北区天満１丁目９番１４号
9010001034839,株式会社巴コーポレーション,ともえこーぽれーしょん,,東京都中央区月島４丁目１６番１３号
6120001059662,大和ハウス工業株式会社,だいわはうすこうぎょう,,大阪府大阪市北区梅田３丁目３番５号
7010001008811,ライト工業株式会社,らいとこうぎょう,,東京都千代田区九段北４丁目２番３５号
8120001059652,積水ハウス株式会社,せきすいはうす,,大阪府大阪市北区大淀中１丁目１番８８号
7010001053304,日特建設株式会社,にっとくけんせつ,,東京都中央区東日本橋３丁目１０番６号
6230001003007,北陸電気工事株式会社,ほくりくでんきこうじ,,富山県富山市小中２６９番
4370001006286,株式会社ユアテック,ゆあてっく,,宮城県仙台市宮城野区榴岡４丁目１番１号
5011501002891,日本リーテック株式会社,にっぽんりーてっく,,東京都千代田区神田錦町１丁目６番地
7470001004244,株式会社四電工,よんでんこう,,香川県高松市花ノ宮町２丁目３番９号
9240001006971,株式会社中電工,ちゅうでんこう,,広島県広島市中区小網町６番１２号
9010401006818,株式会社関電工,かんでんこう,,東京都港区芝浦４丁目８番３３号
1120001063033,株式会社きんでん,きんでん,,大阪府大阪市北区本庄東２丁目３番４１号
6010401020680,株式会社東京エネシス,とうきょうえねしす,,東京都中央区日本橋茅場町１丁目３番１号
8180001038758,株式会社トーエネック,とーえねっく,,愛知県名古屋市中区栄１丁目２０番３１号
3010001034778,株式会社弘電社,こうでんしゃ,,東京都中央区銀座５丁目１１番１０号
7120001044515,住友電設株式会社,すみともでんせつ,,大阪府大阪市西区阿波座２丁目１番４号
6010501016240,日本電設工業株式会社,にっぽんでんせつこうぎょう,,東京都台東区池之端１丁目２番２３号
3011001031955,エクシオグループ株式会社,えくしおぐるーぷ,,東京都渋谷区渋谷３丁目２９番２０号
2010001062912,新日本空調株式会社,しんにっぽんくうちょう,,東京都中央区日本橋浜町２丁目３１番１号
6290001001120,株式会社九電工,きゅうでんこう,,福岡県福岡市南区那の川１丁目２３番３５号
4010001008681,株式会社サンテック,さんてっく,,東京都千代田区二番町３番地１３
2010001008683,三機工業株式会社,さんきこうぎょう,,東京都中央区明石町８番１号
3010001008732,日揮ホールディングス株式会社,にっきほーるでぃんぐす,JGC HOLDINGS CORPORATION,神奈川県横浜市西区みなとみらい２丁目３番１号
2120001049015,中外爐工業株式会社,ちゅうがいろこうぎょう,,大阪府大阪市中央区平野町３丁目６番１号
3010401018661,株式会社テクノ菱和,てくのりょうわ,,東京都港区芝大門２丁目１２番８号
4290801010231,株式会社高田工業所,たかだこうぎょうしょ,,福岡県北九州市八幡西区築地町１番１号
5070001001977,株式会社ヤマト,やまと,,群馬県前橋市古市町１１８番地
4010001008748,太平電業株式会社,たいへいでんぎょう,,東京都千代田区神田神保町２丁目４番地
3010001008749,高砂熱学工業株式会社,たかさごねつがくこうぎょう,,東京都新宿区新宿６丁目２７番３０号
2010001034861,中央ビルト工業株式会社,ちゅうおうびるとこうぎょう,,東京都中央区日本橋富沢町１１番１２号
9010401038472,三晃金属工業株式会社,さんこうきんぞくこうぎょう,,東京都港区芝浦４丁目１３番２３号
6010001135680,ＮＥＣネッツエスアイ株式会社,えぬいーしーねっつえすあい,,東京都港区芝浦３丁目９番１４号
5010401000023,株式会社朝日工業社,あさひこうぎょうしゃ,,東京都港区浜松町１丁目２５番７号
1120001049032,明星工業株式会社,めいせいこうぎょう,,大阪府大阪市西区京町堀１丁目８番５号
7011101011812,株式会社大氣社,たいきしゃ,,東京都新宿区西新宿８丁目１７番１号
6120001045084,ダイダン株式会社,だいだん,,大阪府大阪市西区江戸堀１丁目９番２５号
5011001006550,株式会社協和日成,きょうわにっせい,,東京都中央区入船３丁目８番５号
9010401025405,日比谷総合設備株式会社,ひびやそうごうせつび,,東京都港区三田３丁目５番２７号
6010001013597,神田通信機株式会社,かんだつうしんき,,東京都千代田区神田富山町２４番地
1010001049480,高橋カーテンウォール工業株式会社,たかはしかーてんうぉーるこうぎょう,,東京都中央区日本橋本町１丁目５番４号
7050001000351,暁飯島工業株式会社,あかつきいいじまこうぎょう,,茨城県水戸市千波町２７７０番地の５
9011001017684,株式会社ニップン,にっぷん,,東京都千代田区麹町４丁目８番地
8010001008736,株式会社日清製粉グループ本社,にっしんせいふんぐるーぷほんしゃ,,東京都千代田区神田錦町１丁目２５番地
3010001034893,日東富士製粉株式会社,にっとうふじせいふん,,東京都中央区新川１丁目３番１７号
3010001008690,昭和産業株式会社,しょうわさんぎょう,,東京都千代田区内神田２丁目２番１号
5290001055183,鳥越製粉株式会社,とりごえせいふん,,福岡県うきは市吉井町２７６番地の１
2180001094757,中部飼料株式会社,ちゅうぶしりょう,,愛知県名古屋市中区錦２丁目１３番１９号
7140001002355,日和産業株式会社,にちわさんぎょう,,兵庫県神戸市東灘区住吉浜町１９番地の５
7020001107810,フィード・ワン株式会社,ふぃーどわん,,神奈川県横浜市神奈川区鶴屋町２丁目２３番地２
2010001034845,東洋精糖株式会社,とうようせいとう,,東京都中央区日本橋小網町１８番２０号
8010401054826,日本甜菜製糖株式会社,にっぽんてんさいせいとう,,東京都港区三田３丁目１２番１４号
1010001034929,ＤＭ三井製糖ホールディングス株式会社,でぃーえむみついせいとうほーるでぃんぐす,,東京都港区芝５丁目２６番１６号
7010001079324,塩水港精糖株式会社,えんすいこうせいとう,,東京都中央区日本橋堀留町２丁目９番６号
5010001034982,フジ日本精糖株式会社,ふじにほんせいとう,,東京都中央区日本橋兜町６番７号
2010001142672,ウェルネオシュガー株式会社,うぇるねおしゅがー,,東京都中央区日本橋小網町１４番１号
1010401091628,株式会社ＬＩＦＵＬＬ,らいふる,,東京都千代田区麹町１丁目４番地４
1011001035512,株式会社ＭＩＸＩ,みくしぃ,,東京都渋谷区渋谷２丁目２４番１２号渋谷スクランブルスクエア
8011101028715,株式会社インタースペース,いんたーすぺーす,,東京都新宿区西新宿２丁目４番１号
1010001019483,株式会社ジェイエイシーリクルートメント,じぇいえいしーりくるーとめんと,,東京都千代田区神田神保町１丁目１０５番地神保町三井ビルディング１４階
6010001033744,株式会社日本Ｍ＆Ａセンターホールディングス,にほんえむあんどえーせんたーほーるでぃんぐす,,東京都千代田区丸の内１丁目８番２号
7010701022764,株式会社メンバーズ,めんばーず,,東京都中央区晴海１丁目８番１０号
4120001048543,燦キャピタルマネージメント株式会社,さんきゃぴたるまねーじめんと,,大阪府大阪市淀川区西中島７丁目５番２５号
9020001015813,株式会社ヒップ,ひっぷ,,神奈川県横浜市西区楠町８番地８
3010401083482,クルーズ株式会社,くるーず,,東京都渋谷区恵比寿４丁目３番１４号恵比寿ＳＳビル
2200001003384,株式会社中広,ちゅうこう,,岐阜県岐阜市東興町２７番地
6010701020975,ＵＴグループ株式会社,ゆーてぃーぐるーぷ,,東京都品川区東五反田１丁目１１番１５号
1010001092299,アイティメディア株式会社,あいてぃめでぃあ,,東京都千代田区紀尾井町３番１２号
4010001075490,株式会社ケアネット,けあねっと,,東京都千代田区富士見１丁目８番１９号
3010701010137,幼児活動研究会株式会社,ようじかつどうけんきゅうかい,,東京都品川区西五反田２丁目１１番１７号
3260001010102,Ｅ・Ｊホールディングス株式会社,いーじぇいほーるでぃんぐす,,岡山県岡山市北区津島京町３丁目１番２１号
5010401078571,株式会社オープンアップグループ,おーぷんあっぷぐるーぷ,,東京都港区東新橋２丁目１４番１号
9470001002353,セーラー広告株式会社,せーらーこうこく,,香川県高松市扇町２丁目７番２０号
7070001003674,株式会社コシダカホールディングス,こしだかほーるでぃんぐす,,群馬県前橋市大友町１丁目５番地１
1010401051219,株式会社ＦＲＯＮＴＥＯ,ふろんてお,,東京都港区港南２丁目１２番２３号
4011101053527,株式会社ジーエヌアイグループ,じーえぬあいぐるーぷ,,東京都中央区日本橋本町２丁目２番２号
7011101037766,ｎｍｓホールディングス株式会社,えぬえむえすほーるでぃんぐす,,東京都新宿区西新宿３丁目２０番２号
6140001047590,株式会社アルトナー,あるとなー,,大阪府大阪市北区中之島３丁目２番１８号
6040001020962,株式会社地域新聞社,ちいきしんぶんしゃ,,千葉県八千代市勝田台北１丁目１１番１６号
6010001114024,株式会社パソナグループ,ぱそなぐるーぷ,,東京都千代田区丸の内１丁目５番１号
9180301001381,ＣＤＳ株式会社,しーでぃーえす,,愛知県岡崎市舞木町字市場４６番地
5010001068254,株式会社リンクアンドモチベーション,りんくあんどもちべーしょん,,東京都中央区銀座４丁目１２番１５号歌舞伎座タワー
3010001099004,株式会社博展,はくてん,,東京都中央区京橋３丁目１番１号
2010001134117,株式会社エス・エム・エス,えすえむえす,,東京都港区芝公園２丁目１１番１号
6120001140744,株式会社成学社,せいがくしゃ,,大阪府大阪市北区中崎西３丁目１番２号
1011001044042,株式会社サニーサイドアップグループ,さにーさいどあっぷぐるーぷ,,東京都渋谷区千駄ヶ谷４丁目２３番５号ＪＰＲ千駄ヶ谷ビル
8011001058176,パーソルホールディングス株式会社,ぱーそるほーるでぃんぐす,,東京都渋谷区代々木２丁目１番１号
9120001111255,株式会社リニカル,りにかる,,大阪府大阪市淀川区宮原１丁目６番１号
4180001036617,株式会社シイエム・シイ,しいえむしい,,愛知県名古屋市中区平和１丁目１番１９号
9010801008257,ソーバル株式会社,そーばる,,東京都品川区北品川５丁目９番１１号
6010401071872,クックパッド株式会社,くっくぱっど,,神奈川県横浜市西区みなとみらい３丁目７番１号ＷｅＷｏｒｋオーシャンゲートみなとみらい
3010001129669,アミタホールディングス株式会社,あみたほーるでぃんぐす,,京都府京都市中京区烏丸通押小路上る秋野々町５３５番地
9010401057687,株式会社エスクリ,えすくり,,東京都中央区日本橋小網町６番１号
5300001005459,アイ・ケイ・ケイホールディングス株式会社,あいけいけいほーるでいんぐす,,佐賀県伊万里市新天町７２２番地５
1010401029660,森永製菓株式会社,もりながせいか,,東京都港区芝５丁目３３番１号
6011101015442,株式会社中村屋,なかむらや,,東京都新宿区新宿３丁目２６番１３号
5120001049268,江崎グリコ株式会社,えざきぐりこ,,大阪府大阪市西淀川区歌島４丁目６番５号
5180001027409,名糖産業株式会社,めいとうさんぎょう,,愛知県名古屋市西区笹塚町２丁目４１番地
6110001017563,株式会社ブルボン,ぶるぼん,,新潟県柏崎市駅前１丁目３番１号
5190001000125,井村屋グループ株式会社,いむらやぐるーぷ,,三重県津市高茶屋７丁目１番１号
3010001034910,株式会社不二家,ふじや,,東京都文京区大塚２丁目１５番６号
4010001008806,山崎製パン株式会社,やまざきせいぱん,,東京都千代田区岩本町３丁目１０番１号
8012701009955,第一屋製パン株式会社,だいいちやせいぱん,,東京都小平市小川東町３丁目６番１号
9011201001240,カンロ株式会社,かんろ,,東京都新宿区西新宿３丁目２０番２号
2140001002665,モロゾフ株式会社,もろぞふ,,兵庫県神戸市東灘区御影本町６丁目１１番１９号
4110001006378,亀田製菓株式会社,かめだせいか,,新潟県新潟市江南区亀田工業団地３丁目１番１号
5110001023736,岩塚製菓株式会社,いわつかせいか,,新潟県長岡市飯塚２９５８番地
1270001003263,寿スピリッツ株式会社,ことぶきすぴりっつ,,鳥取県米子市旗ヶ崎２０２８番地
1180001075799,株式会社コモ,こも,,愛知県小牧市大字村中字下之坪５０５番地の１
9011401005578,株式会社湖池屋,こいけや,,東京都板橋区成増５丁目９番７号
8010001133757,カルビー株式会社,かるびー,,東京都千代田区丸の内１丁目８番３号
8010401029662,森永乳業株式会社,もりながにゅうぎょう,,東京都港区芝５丁目３３番１号
6140001011869,六甲バター株式会社,ろっこうばたー,,兵庫県神戸市中央区坂口通１丁目３番１３号
7010401029746,株式会社ヤクルト本社,やくるとほんしゃ,,東京都港区海岸１丁目１０番３０号
8010701008226,Ｂ－Ｒサーティワンアイスクリーム株式会社,びーあーるさーてぃわんあいすくりーむ,,東京都品川区上大崎３丁目１番１号
9010001123947,明治ホールディングス株式会社,めいじほーるでぃんぐす,,東京都中央区京橋２丁目４番１６号
8430001041570,雪印メグミルク株式会社,ゆきじるしめぐみるく,,北海道札幌市東区苗穂町６丁目１番１号
6010701008888,プリマハム株式会社,ぷりまはむ,,東京都品川区東大井３丁目１７番４号
6120001077615,日本ハム株式会社,にっぽんはむ,,大阪府大阪市北区梅田２丁目４番９号
8250001006179,林兼産業株式会社,はやしかねさんぎょう,,山口県下関市大和町２丁目４番８号
3120901012046,丸大食品株式会社,まるだいしょくひん,,大阪府高槻市緑町２１番３号
6240001010290,福留ハム株式会社,ふくとめはむ,,広島県広島市西区草津港２丁目６番７５号
6140001069164,エスフーズ株式会社,えすふーず,,兵庫県西宮市鳴尾浜１丁目２２番１３
4060001017356,滝沢ハム株式会社,たきざわはむ,,栃木県栃木市泉川町５５６番地
7190001012102,株式会社柿安本店,かきやすほんてん,,三重県桑名市吉之丸８番地
6011001110293,伊藤ハム米久ホールディングス株式会社,いとうはむよねきゅうほーるでぃんぐす,,東京都目黒区三田１丁目６番２１号
7290001012793,株式会社きょくとう,きょくとう,,福岡県福岡市博多区金の隈１丁目２８番５３号
3120001047728,株式会社学情,がくじょう,,東京都千代田区有楽町１丁目１番３号
9140001018622,株式会社ドーン,どーん,,兵庫県神戸市中央区磯上通２丁目２番２１号三宮グランドビル５Ｆ
2010001072812,株式会社ＣＳＳホールディングス,しーえすえすほーるでぃんぐす,,東京都中央区日本橋小伝馬町１０番１号
5120001096533,株式会社スタジオアリス,すたじおありす,,大阪府大阪市北区梅田１丁目８番１７号
5010701002818,株式会社クロスキャット,くろすきゃっと,,東京都港区港南１丁目２番７０号
1010701011418,シミックホールディングス株式会社,しみっくほーるでぃんぐす,,東京都港区芝浦１丁目１番１号
4011801000662,株式会社エプコ,えぷこ,,東京都墨田区太平４丁目１番３号
7010701017566,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,かいかでじたる,,東京都港区南青山５丁目１１番９号
6010401088867,株式会社システナ,しすてな,,東京都港区海岸１丁目２番２０号
4430001024067,株式会社ソフトフロントホールディングス,そふとふろんとほーるでぃんぐす,,東京都千代田区九段南１丁目４番５号
6011301016389,株式会社ｆｏｎｆｕｎ,ふぉんふぁん,,東京都渋谷区笹塚２丁目１番６号
6011101045308,株式会社ＮＪＳ,えぬじぇーえす,"NJS Co.,Ltd.",東京都港区芝浦１丁目１番１号
3010001096117,デジタルアーツ株式会社,でじたるあーつ,,東京都千代田区大手町１丁目５番１号
9010001045803,日鉄ソリューションズ株式会社,にってつそりゅーしょんず,,東京都港区虎ノ門１丁目１７番１号
3010401015790,株式会社東北新社,とうほくしんしゃ,,東京都港区赤坂４丁目８番１０号
9290001059247,株式会社フォーサイド,ふぉーさいど,,東京都中央区日本橋室町３丁目３番１号
3010401016070,綜合警備保障株式会社,そうごうけいびほしょう,,東京都港区元赤坂１丁目６番６号
8010401008344,株式会社クエスト,くえすと,,東京都港区芝浦３丁目１番１号
