日付,コード,銘柄名,33業種コード,17業種コード,規模コード,市場コード,法人番号,法人名,法人名ふりがな,法人名英語,本店所在地,設立,時価総額
20231031,5386,鶴弥,3400,3,-,S,2180001091861,株式会社鶴弥,つるや,,愛知県半田市州の崎町２番地１２,1968年（昭和43年）2月1日（株式会社鶴弥製瓦工場）,3006
20231031,5388,クニミネ工業,3400,3,7,S,6010001015098,クニミネ工業株式会社,くにみねこうぎょう,,東京都千代田区岩本町１丁目１０番５号,,14407
20231031,5391,エーアンドエーマテリアル,3400,3,7,S,9020001040448,株式会社エーアンドエーマテリアル,えーあんどえーまてりある,,神奈川県横浜市鶴見区鶴見中央２丁目５番５号,1924年3月10日,9816
20231031,5393,ニチアス,3400,3,6,P,9010401021486,ニチアス株式会社,にちあす,NICHIAS Corporation,東京都中央区八丁堀１丁目６番１号,1896年（明治29年）4月9日（日本アスベスト株式会社）,211234
20231031,5395,理研コランダム,3400,3,-,S,6030001061891,理研コランダム株式会社,りけんこらんだむ,,埼玉県鴻巣市宮前５４７番地の１,1935年12月7日,2294
20231031,5401,日本製鉄,3450,7,2,P,3010001008848,日本製鉄株式会社,にっぽんせいてつ,NIPPON STEEL CORPORATION,東京都千代田区丸の内２丁目６番１号,1950年（昭和25年）4月1日（八幡製鐵株式会社）,3296665
20231031,5406,神戸製鋼所,3450,7,4,P,6140001005714,株式会社神戸製鋼所,こうべせいこうしょ,"Kobe Steel, Ltd.",兵庫県神戸市中央区脇浜海岸通２丁目２番４号,1911年（明治44年）6月28日（創立1905年（明治38年）9月1日）,697767
20231031,5408,中山製鋼所,3450,7,6,P,5120001027901,株式会社中山製鋼所,,,大阪府大阪市大正区船町１丁目１番６６号,1923年（大正12年）12月22日,52608
20231031,5410,合同製鐵,3450,7,6,P,6120001049614,合同製鐵株式会社,ごうどうせいてつ,,大阪府大阪市北区堂島浜２丁目２番８号,1937年（昭和12年）12月9日,76553
20231031,5411,ＪＦＥホールディングス,3450,7,4,P,6010001080308,ＪＦＥホールディングス株式会社,じぇいえふいーほーるでぃんぐす,,東京都千代田区内幸町２丁目２番３号,2002年（平成14年）9月27日[1],1425948
20231031,5423,東京製鐵,3450,7,6,P,8010001008819,東京製鐵株式会社,とうきょうせいてつ,,東京都千代田区霞が関３丁目７番１号霞が関東急ビル,1934年（昭和9年）11月23日,281597
20231031,5440,共英製鋼,3450,7,6,P,5120001062898,共英製鋼株式会社,きょうえいせいこう,,大阪府大阪市北区堂島浜１丁目４番１６号,1947年（昭和22年）8月21日（共栄製鉄株式会社）,94198
20231031,5444,大和工業,3450,7,4,P,8140001059873,大和工業株式会社,やまとこうぎょう,,兵庫県姫路市大津区吉美３８０番地,1944年11月8日,494520
20231031,5445,東京鐵鋼,3450,7,7,P,8060001014498,東京鐵鋼株式会社,とうきょうてっこう,,栃木県小山市大字横倉新田５２０番地,1939年6月23日,35401
20231031,5446,北越メタル,3450,7,-,S,9110001023162,北越メタル株式会社,ほくえつめたる,,新潟県長岡市蔵王３丁目３番１号,1942年（昭和17年）6月23日,6071
20231031,5449,大阪製鐵,3450,7,7,S,1120001028390,大阪製鐵株式会社,おおさかせいてつ,,大阪府大阪市大正区南恩加島１丁目９番３号,1978年（昭和53年）5月15日,80670
20231031,5451,淀川製鋼所,3450,7,6,P,4120001077591,株式会社淀川製鋼所,よどがわせいこうしょ,,大阪府大阪市中央区南本町４丁目１番１号,1935年（昭和10年）1月30日,132730
20231031,5458,高砂鐵工,3450,7,-,S,6011401003931,高砂鉄工株式会社,たかさごてっこう,,東京都板橋区新河岸１丁目１番１号,1923年（大正12年）11月16日,2406
20231031,5461,中部鋼鈑,3450,7,6,P,2180001020102,中部鋼鈑株式会社,ちゅうぶこうはん,,愛知県名古屋市中川区小碓通５丁目１番地,1950年（昭和25年）2月15日,59162
20231031,5463,丸一鋼管,3450,7,4,P,5120001047593,丸一鋼管株式会社,まるいちこうかん,,大阪府大阪市中央区難波５丁目１番６０号,1947年12月18日,323064
20231031,5464,モリ工業,3450,7,7,S,2120101034032,モリ工業株式会社,もりこうぎょう,,大阪府河内長野市楠町東１６１５番地,1949年（昭和24年）4月,34094
20231031,5471,大同特殊鋼,3450,7,4,P,6180001037514,大同特殊鋼株式会社,だいどうとくしゅこう,,愛知県名古屋市東区東桜１丁目１番１０号,1950年（昭和25年）2月（創業：1916年（大正5年）8月）,298841
20231031,5476,日本高周波鋼業,3450,7,7,S,1010001016852,日本高周波鋼業株式会社,にほんこうしゅうはこうぎょう,,東京都千代田区岩本町１丁目１０番５号,1950年（昭和25年）5月18日,7961
20231031,5480,日本冶金工業,3450,7,6,P,2010001034977,日本冶金工業株式会社,にっぽんやきんこうぎょう,,東京都中央区京橋１丁目５番８号,1925年（大正14年）8月22日,65244
20231031,5481,山陽特殊製鋼,3450,7,6,P,6140001058935,山陽特殊製鋼株式会社,さんようとくしゅせいこう,"Sanyo Special Steel Co., Ltd.",兵庫県姫路市飾磨区中島字一文字３００７番地,1935年（昭和10年）1月11日,140574
20231031,5482,愛知製鋼,3450,7,6,P,9180001094156,愛知製鋼株式会社,あいちせいこう,,愛知県東海市荒尾町ワノ割１番地,1940年（昭和15年）3月8日,68211
20231031,5484,東北特殊鋼,3450,7,-,S,2370001002444,東北特殊鋼株式会社,とうほくとくしゅこう,,宮城県仙台市太白区長町７丁目２０番１号,1937年（昭和12年）4月20日,13364
20231031,5491,日本金属,3450,7,7,S,1011401011162,日本金属株式会社,にっぽんきんぞく,,東京都板橋区舟渡４丁目１０番１号,1939年（昭和14年）12月2日（1930年（昭和5年）11月10日創業）,5521
20231031,5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,8050,17,-,G,5011001137024,株式会社ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,ぷろぱてぃてくのろじーず,,東京都渋谷区本町３丁目１２番１号,,5633
20231031,5532,リアルゲイト,8050,17,-,G,2010401098366,株式会社リアルゲイト,りあるげいと,,東京都渋谷区千駄ヶ谷３丁目５１番１０号,,4837
20231031,5533,エリッツホールディングス,8050,17,-,S,2130001048932,株式会社エリッツホールディングス,えりっつほーるでぃんぐす,,京都府京都市中京区堀川通姉小路上る三坊堀川町５５番地１エリッツ御池ビル,,6958
20231031,5535,ミガロホールディングス,8050,17,7,P,5011101104601,ミガロホールディングス株式会社,みがろほーるでぃんぐす,,東京都新宿区西新宿６丁目５番１号新宿アイランドタワー４１階,2023年（令和5年）10月2日,8976
20231031,5541,大平洋金属,3450,7,7,P,2010001008717,大平洋金属株式会社,たいへいようきんぞく,,東京都千代田区大手町１丁目６番１号,1949年（昭和24年）12月1日,25411
20231031,5542,新報国マテリアル,3450,7,-,S,1030001054909,新報国マテリアル株式会社,しんほうこくまてりある,,埼玉県川越市新宿町５丁目１３番地１,1949年10月,3994
20231031,5563,新日本電工,3450,7,6,P,9010001035003,新日本電工株式会社,しんにっぽんでんこう,,東京都中央区八重洲１丁目４番１６号,1934年（昭和9年）12月,41303
20231031,5570,ジェノバ,5250,10,-,G,2010001077613,株式会社ジェノバ,じぇのば,,東京都千代田区神田須田町１丁目３４番地４,,13978
20231031,5571,エキサイトホールディングス,5250,10,-,S,3010001193533,エキサイトホールディングス株式会社,えきさいとほーるでぃんぐす,,東京都港区南麻布３丁目２０番１号,2018年7月18日（XTech HP株式会社）[1],4746
20231031,5572,Ｒｉｄｇｅ－ｉ,5250,10,-,G,9010001177423,株式会社Ｒｉｄｇｅ‐ｉ,りっじあい,,東京都千代田区大手町１丁目６番１号,,6898
20231031,5574,ＡＢＥＪＡ,5250,10,-,G,5011001091576,株式会社ＡＢＥＪＡ,あべじゃ,,東京都港区三田１丁目１番１４号,,42536
20231031,5575,Ｇｌｏｂｅｅ,5250,10,-,G,9011001100548,株式会社Ｇｌｏｂｅｅ,ぐろーびー,,東京都港区東麻布１丁目７番３号,,8045
20231031,5576,オービーシステム,5250,10,-,S,5120001030401,株式会社オービーシステム,おーびーしすてむ,,大阪府大阪市中央区平野町２丁目３番７号,,4691
20231031,5577,アイデミー,5250,10,-,G,7010001161164,株式会社アイデミー,あいでみー,,東京都千代田区大手町１丁目２番１号,,7019
20231031,5578,ＡＲアドバンストテクノロジ,5250,10,-,G,2010001130058,ＡＲアドバンストテクノロジ株式会社,えーあーるあどばんすとてくのろじ,,東京都渋谷区渋谷１丁目１４番１６号,,7479
20231031,5580,プロディライト,5250,10,-,G,1120001146779,株式会社プロディライト,ぷろでぃらいと,,大阪府大阪市中央区高麗橋３丁目３番１１号淀屋橋フレックスタワー２階,2008年6月,2046
20231031,5582,グリッド,5250,10,-,G,4010401084422,株式会社グリッド,ぐりっど,,東京都港区北青山３丁目１１番７号ＡＯビル６階,,12704
20231031,5585,エコナビスタ,5250,10,-,G,1010001128887,エコナビスタ株式会社,えこなびすた,,東京都千代田区紀尾井町３番１号,,18282
20231031,5586,Ｌａｂｏｒｏ．ＡＩ,5250,10,-,G,7010001174744,株式会社Ｌａｂｏｒｏ．ＡＩ,らぼろえーあい,,東京都中央区銀座８丁目１１番１号,,14095
20231031,5587,インバウンドプラットフォーム,5250,10,-,G,2011001107558,株式会社インバウンドプラットフォーム,いんばうんどぷらっとふぉーむ,,東京都港区新橋６丁目１４番５号,,6421
20231031,5588,ファーストアカウンティング,5250,10,-,G,7010401125256,ファーストアカウンティング株式会社,ふぁーすとあかうんてぃんぐ,,東京都港区浜松町１丁目６番１５号,,6472
20231031,5589,オートサーバー,5250,10,-,S,2010001171804,株式会社オートサーバー,おーとさーばー,,東京都中央区晴海１丁目８番８号,,11702
20231031,5590,ネットスターズ,5250,10,-,G,9010001141627,株式会社ネットスターズ,ねっとすたーず,,東京都中央区八丁堀３丁目３番５号,,13942
20231031,5591,ＡＶＩＬＥＮ,5250,10,-,G,1010501042976,株式会社ＡＶＩＬＥＮ,あヴぃれん,,東京都中央区日本橋馬喰町２丁目３－３秋葉原ファーストスクエア９階,,12536
20231031,5592,くすりの窓口,5250,10,-,G,7420001005379,株式会社くすりの窓口,くすりのまどぐち,,東京都豊島区池袋２丁目４３番１号,,18886
20231031,5602,栗本鐵工所,3450,7,7,P,1120001048991,株式会社栗本鐵工所,くりもとてっこうしょ,,大阪府大阪市西区北堀江１丁目１２番１９号,1934年（昭和9年）5月10日,41467
20231031,5603,虹技,3450,7,7,S,6140001063844,虹技株式会社,こうぎ,,兵庫県姫路市大津区勘兵衛町４丁目１番地,1940年（昭和15年）6月11日,3853
20231031,5609,日本鋳造,3450,7,-,S,8020001074100,日本鋳造株式会社,にっぽんちゅうぞう,,神奈川県川崎市川崎区白石町２番１号,1948年（昭和23年）12月1日（1920年9月1日創業）,4550
20231031,5610,大和重工,3450,7,-,S,9240001005817,大和重工株式会社,だいわじゅうこう,,広島県広島市安佐北区可部１丁目２１番２３号,1920年3月7日[1],1454
20231031,5612,日本鋳鉄管,3450,7,7,S,3010001016859,日本鋳鉄管株式会社,にっぽんちゅうてつかん,NIPPON CHUTETSUKAN K.K.,埼玉県久喜市菖蒲町昭和沼１番地,,3428
20231031,5631,日本製鋼所,3600,8,4,P,5010701019531,株式会社日本製鋼所,にほんせいこうしょ,"The Japan Steel Works, Ltd.",東京都品川区大崎１丁目１１番１号,1950年（昭和25年）12月11日（創業：1907年（明治40年）11月1日）,194258
20231031,5632,三菱製鋼,3450,7,7,P,8010001058095,三菱製鋼株式会社,みつびしせいこう,,東京都中央区月島４丁目１６番１３号,1949年（昭和24年）12月1日（長崎製鋼株式会社）,24508
20231031,5644,メタルアート,3450,7,-,S,9160001013183,株式会社メタルアート,めたるあーと,,滋賀県草津市野路３丁目２番１８号,,13782
20231031,5658,日亜鋼業,3450,7,7,S,7140001050536,日亜鋼業株式会社,にちあこうぎょう,,兵庫県尼崎市中浜町１９番地,1952年（昭和27年）6月,15785
20231031,5659,日本精線,3450,7,7,P,2120001093269,日本精線株式会社,にっぽんせいせん,,大阪府大阪市中央区高麗橋４丁目１番１号,1951年（昭和26年）6月30日,29890
20231031,5660,神鋼鋼線工業,3450,7,-,S,2140001049112,神鋼鋼線工業株式会社,しんこうこうせんこうぎょう,,兵庫県尼崎市中浜町１０番地１,1954年（昭和29年）3月18日,6191
20231031,5695,パウダーテック,3450,7,-,S,7040001066245,パウダーテック株式会社,ぱうだーてっく,,千葉県柏市十余二２１７番地,,6846
20231031,5697,サンユウ,3450,7,-,S,1120001149666,株式会社サンユウ,さんゆう,,大阪府枚方市春日北町３丁目１番１号,,3253
20231031,5698,エンビプロ・ホールディングス,3450,7,7,P,4080101012395,株式会社エンビプロ・ホールディングス,えんびぷろほーるでぃんぐす,,静岡県富士宮市山宮３５０７番地の１９,2010年5月21日,19777
20231031,5699,イボキン,3450,7,-,S,1140001038603,株式会社イボキン,いぼきん,,兵庫県たつの市揖保川町正條３７９番地,,3931
20231031,5702,大紀アルミニウム工業所,3500,7,6,P,5120001125102,株式会社大紀アルミニウム工業所,だいきあるみにうむこうぎょうしょ,,大阪府大阪市北区中之島３丁目６番３２号,,53271
20231031,5703,日本軽金属ホールディングス,3500,7,6,P,9010701027118,日本軽金属ホールディングス株式会社,にっぽんけいきんぞくほーるでぃんぐす,,東京都港区新橋１丁目１番１３号,2012年10月1日,105699
