日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240131,9110,ＮＳユナイテッド海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20240131,9115,明海グループ,スタンダード（内国株式）,5100,海運業,12,運輸・物流,7,TOPIX Small 2
20240131,9119,飯野海運,プライム（内国株式）,5100,海運業,12,運輸・物流,6,TOPIX Small 1
20240131,9127,玉井商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20240131,9130,共栄タンカー,スタンダード（内国株式）,5100,海運業,12,運輸・物流,7,TOPIX Small 2
20240131,9142,九州旅客鉄道,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9143,ＳＧホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9145,ビーイングホールディングス,スタンダード（内国株式）,5050,陸運業,12,運輸・物流,-,-
20240131,9146,五健堂,PRO Market,5050,陸運業,12,運輸・物流,-,-
20240131,9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,プライム（内国株式）,5050,陸運業,12,運輸・物流,4,TOPIX Mid400
20240131,9149,大友ロジスティクスサービス,PRO Market,5050,陸運業,12,運輸・物流,-,-
20240131,9156,はなホールディングス,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9158,シーユーシー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9159,Ｗ　ＴＯＫＹＯ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9160,ノバレーゼ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9161,ＩＤ＆Ｅホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240131,9162,ブリーチ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9163,ナレルグループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9164,トライト,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9165,クオルテック,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9166,ＧＥＮＤＡ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9167,フトン巻きのジロー,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9168,ライズ・コンサルティング・グループ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9169,大伸社,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240131,9171,栗林商船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20240131,9173,東海汽船,スタンダード（内国株式）,5100,海運業,12,運輸・物流,-,-
20240131,9193,東京汽船,スタンダード（内国株式）,5200,倉庫・運輸関連業,12,運輸・物流,-,-
20240131,9201,日本航空,プライム（内国株式）,5150,空運業,12,運輸・物流,4,TOPIX Mid400
20240131,9202,ＡＮＡホールディングス,プライム（内国株式）,5150,空運業,12,運輸・物流,2,TOPIX Large70
20240131,9204,スカイマーク,グロース（内国株式）,5150,空運業,12,運輸・物流,-,-
20240131,9206,スターフライヤー,スタンダード（内国株式）,5150,空運業,12,運輸・物流,-,-
