ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
E01136,内国法人・組合,上場,有,47869, 3月31日,日本特殊陶業株式会社,"NGK SPARK PLUG CO.,LTD.",ニッポントクシュトウギョウカブシキガイシャ,名古屋市東区東桜一丁目１番１号,ガラス・土石製品,53340,3180001010845
E01137,内国法人・組合,上場,有,69849, 3月31日,日本碍子株式会社,"NGK INSULATORS,LTD.",ニッポンガイシカブシキガイシャ,名古屋市瑞穂区須田町２番５６号,ガラス・土石製品,53330,3180001010829
E01138,内国法人・組合,上場,有,35579, 3月31日,ＴＯＴＯ株式会社,TOTO LTD.,トートーカブシキガイシャ,北九州市小倉北区中島二丁目１番１号,ガラス・土石製品,53320,1290801002603
E01139,内国法人・組合,上場,有,15632, 3月31日,株式会社ノリタケカンパニーリミテド,"NORITAKE CO., LIMITED",カブシキガイシャノリタケカンパニーリミテド,名古屋市西区則武新町三丁目１番３６号,ガラス・土石製品,53310,4180001026725
E01140,内国法人・組合,上場,有,7402,12月31日,日本カーボン株式会社,"Nippon Carbon Co. , Ltd.",ニホンカーボンカブシキカイシャ,中央区八丁堀一丁目１０番７号,ガラス・土石製品,53020,9010001035011
E01141,内国法人・組合,上場,有,1635,12月31日,ダントーホールディングス株式会社,DANTO HOLDINGS CORPORATION,ダントーホールディングスカブシキガイシャ,南あわじ市北阿万伊賀野１２９０番地,ガラス・土石製品,53370,9140001085662
E01142,内国法人・組合,上場,有,5111, 3月31日,日本コンクリート工業株式会社,"NIPPON CONCRETE INDUSTRIES CO.,LTD.",ニホンコンクリートコウギョウカブシキガイシャ,港区芝浦４丁目６番１４号,ガラス・土石製品,52690,8010401022551
E01143,内国法人・組合,上場,無,1204, 3月31日,旭コンクリート工業株式会社,"ASAHI CONCRETE WORKS CO.,LTD.",アサヒコンクリートコウギョウカブシキガイシャ,中央区築地１丁目８番２号,ガラス・土石製品,52680,5010001034751
E01146,内国法人・組合,上場,有,3300, 3月31日,品川リフラクトリーズ株式会社,"SHINAGAWA REFRACTORIES CO., LTD.",シナガワリフラクトリーズカブシキガイシャ,千代田区大手町二丁目２番１号,ガラス・土石製品,53510,9010001008685
E01147,内国法人・組合,上場,有,2654, 3月31日,株式会社　ヨータイ,"YOTAI REFRACTORIES CO.,LTD.",カブシキガイシャ　ヨータイ,貝塚市二色中町８番１号,ガラス・土石製品,53570,8120101038845
E01149,内国法人・組合,上場,有,2398, 3月31日,東京窯業株式会社,TYK CORPORATION,トウキョウヨウギョウカブシキガイシャ,港区港南二丁目１１番１号,ガラス・土石製品,53630,2010001023781
E01150,内国法人・組合,上場,有,5537, 3月31日,黒崎播磨株式会社,KROSAKI HARIMA CORPORATION,クロサキハリマカブシキガイシャ,北九州市八幡西区東浜町１番１号,ガラス・土石製品,53520,3290801009910
E01151,内国法人・組合,上場,有,12128, 3月31日,ニチアス株式会社,NICHIAS CORPORATION,ニチアスカブシキガイシャ,中央区八丁堀一丁目６番１号,ガラス・土石製品,53930,9010401021486
E01152,内国法人・組合,上場,有,7739, 3月31日,株式会社有沢製作所,"Arisawa Mfg. Co.,Ltd.",カブシキガイシャアリサワセイサクショ,上越市南本町１丁目５番５号,化学,52080,1110001018789
E01156,内国法人・組合,上場,有,3948, 3月31日,リソルホールディングス株式会社,"RESOL HOLDINGS Co.,Ltd.",リソルホールディングスカブシキガイシャ,新宿区西新宿六丁目２４番１号,サービス業,52610,6011101020517
E01157,内国法人・組合,上場,有,5251, 3月31日,日本ヒューム株式会社,Nippon Hume Corporation,ニッポンヒュームカブシキガイシャ,港区新橋五丁目３３番１１号,ガラス・土石製品,52620,6010401023196
E01161,内国法人・組合,上場,有,4218, 3月31日,株式会社ピーエス三菱,"P.S.Mitsubishi Construction Co.,Ltd.",カブシキガイシャピーエスミツビシ,中央区晴海二丁目５番２４号,建設業,18710,1010001008742
E01162,内国法人・組合,上場,有,20436,12月31日,東海カーボン株式会社,"TOKAI CARBON CO., LTD.",トウカイカーボンカブシキガイシャ,港区北青山一丁目２番３号,ガラス・土石製品,53010,6010401020094
E01163,内国法人・組合,上場,有,3889, 3月31日,株式会社エーアンドエーマテリアル,A&A Material Corporation,カブシキガイシャエーアンドエーマテリアル,横浜市鶴見区鶴見中央２－５－５,ガラス・土石製品,53910,9020001040448
E01164,内国法人・組合,上場,有,13957, 3月31日,株式会社バルカー,"VALQUA , LTD.",カブシキガイシャバルカー,品川区大崎２丁目１番１号,化学,79950,5010701020092
E01165,内国法人・組合,上場,有,720, 2月末日,株式会社トーヨーアサノ,"Toyo Asano Foundation Co.,Ltd.",カブシキガイシャトーヨーアサノ,沼津市原３１５番地の２,ガラス・土石製品,52710,4080101001290
E01166,内国法人・組合,上場,有,2449, 3月31日,株式会社ノザワ,NOZAWA CORPORATION,カブシキガイシャノザワ,神戸市中央区浪花町１５番地,ガラス・土石製品,52370,9140001010083
E01169,内国法人・組合,上場,有,2146, 3月31日,三谷セキサン株式会社,"mitanisekisanco.,ltd",ミタニセキサンカブシキカイシャ,福井市豊島１丁目３番１号,ガラス・土石製品,52730,9210001004020
E01170,内国法人・組合,上場,有,5855,10月31日,株式会社オハラ,OHARA INC.,カブシキガイシャ　オハラ,相模原市中央区小山１－１５－３０,ガラス・土石製品,52180,4021001011600
E01172,内国法人・組合,上場,有,598, 3月31日,昭和化学工業株式会社,,ショウワカガクコウギョウカブシキガイシャ,港区赤坂二丁目１４番３２号,化学,49900,3013201002835
E01173,内国法人・組合,上場,有,5913, 3月31日,ＳＥＣカーボン株式会社,"SEC CARBON,LIMITED",エスイーシーカーボンカブシキガイシャ,尼崎市潮江一丁目２番６号ＪＲＥ尼崎フロントビル６階,ガラス・土石製品,53040,9140001047877
E01174,内国法人・組合,上場,無,3295, 3月31日,株式会社スパンクリートコーポレーション,SPANCRETE CORPORATION,カブシキガイシャスパンクリートコーポレーション,文京区湯島二丁目４番３号,ガラス・土石製品,52770,9010001004016
E01176,内国法人・組合,上場,有,1885,11月30日,アサヒ衛陶株式会社,"ASAHI EITO CO.,LTD.",アサヒエイトウカブシキガイシャ,大阪市中央区常盤町一丁目３番８号,ガラス・土石製品,53410,2120101021352
E01177,内国法人・組合,上場,有,1000, 3月31日,ジャニス工業株式会社,Janis Ltd.,ジャニスコウギョウカブシキガイシャ,常滑市唐崎町２丁目８８番地,ガラス・土石製品,53420,9180001093174
E01180,内国法人・組合,上場,有,877, 3月31日,美濃窯業株式会社,"MINO CERAMIC CO., LTD.",ミノヨウギョウカブシキガイシャ,瑞浪市寺河戸町７１９番地,ガラス・土石製品,53560,5200001021920
E01182,内国法人・組合,上場,有,115703, 3月31日,京セラ株式会社,KYOCERA CORPORATION,キョウセラカブシキガイシャ,京都市伏見区竹田鳥羽殿町６番地,電気機器,69710,4130001000049
E01183,内国法人・組合,上場,有,5968, 3月31日,株式会社松風,SHOFU INC.,カブシキガイシャショウフウ,京都市東山区福稲上高松町１１番地,精密機器,79790,6130001009674
E01185,内国法人・組合,上場,有,500,12月31日,理研コランダム株式会社,Riken Corundum Company Limited,リケンコランダムカブシキガイシャ,鴻巣市宮前５４７番地の１,ガラス・土石製品,53950,6030001061891
E01186,内国法人・組合,上場,有,107, 3月31日,不二硝子株式会社,"FUJI GLASS CO.,LTD.",フジガラスカブシキカイシャ,墨田区文花二丁目１５番９号,ガラス・土石製品,52120,1010601015163
E01188,内国法人・組合,上場,無,1320, 3月31日,株式会社ニッカトー,NIKKATO CORPORATION,カブシキガイシャニッカトー,堺市堺区遠里小野町３丁２番２４号,ガラス・土石製品,53670,8120101006505
E01190,内国法人・組合,上場,有,32155,12月31日,日本電気硝子株式会社,"Nippon Electric Glass Co., Ltd.",ニッポンデンキガラスカブシキガイシャ,大津市晴嵐二丁目７番１号,ガラス・土石製品,52140,4160001001498
